videoId,channelTitle,description,publishedAt,title
U1EymARAh7w,CBS News,President Biden addressed the nation Friday evening after Congress passed a bipartisan debt ceiling bill to avoid default ...,2023-06-02T23:16:33Z,President Biden delivers remarks after Congress passes debt ceiling bill | full video
PpfQu2ngua0,Guardian News,The US president makes his speech shortly after the supreme court ruled to limit the use of affirmative action in college ...,2023-06-29T17:00:40Z,US president Joe Biden gives speech on affirmative action – watch live
0fUvncoq9Y0,Sky News,US President Joe Biden delivers a speech about the U.S. August jobs report in the Rose Garden at the White House. #Biden ...,2023-09-01T16:29:54Z,Joe Biden delivers speech about US jobs
1kyxWBIstag,ABC News,President Joe Biden urged the importance of gun safety and violence prevention during a speech in the Rose Garden.,2023-09-22T19:55:41Z,Biden administration launches Office of Gun Violence Prevention
NxHk6z__VRo,ABC News,President Joe Biden touted the bill which averted a default on the nation's debt as a victory for the American people. #abcnews ...,2023-06-02T23:47:55Z,Biden delivers remarks on bipartisan debt bill
IeizQESCsYs,ABC11,"(May 9, 2023) President Biden speaks at Fort Liberty Biden touts jobs, support for military families during visits to Rocky Mount ...",2023-06-13T14:55:45Z,FULL SPEECH | President Biden speaks at Fort Liberty
VEiQ3hTjEw0,CNBC Television,"President Joe Biden speaks about the August jobs report, in which the unemployment rate unexpectedly rose to 3.8%.",2023-09-01T16:29:45Z,President Biden delivers remarks on the August jobs report— 9/1/23
fEvkTpYuH7g,NBC News,"President Biden focuses on his record of job creation on Labor Day, contrasting his performance with former President Trump ...",2023-09-04T15:30:22Z,"President Biden praises unions, slams Trump in Labor Day remarks"
_o7pMo43KV0,CNN,President Joe Biden gave the first Oval Office address of his presidency to speak about the debt limit bill passed by Congress.,2023-06-02T23:45:55Z,Watch Biden’s full Oval Office address about the debt ceiling deal
YjEyjMcvrxk,ABC7,"President Biden calls for the end of gun violence ""epidemic"" a year after the Uvalde elementary school shooting. MORE: ...",2023-05-24T23:30:06Z,FULL SPEECH: Pres. Joe Biden speaks on gun violence &#39;epidemic&#39; a year after Uvalde
sOemvIjGIJg,CNBC Television,President Joe Biden delivers remarks on the affirmative action SCOTUS ruling on Thursday. » Subscribe to CNBC TV: ...,2023-06-29T16:59:26Z,President Biden delivers remarks on affirmative action SCOTUS decision — 6/29/23
k4pzsR_Buic,WFAA,President Joe Biden on Tuesday announced that his administration is moving forward with new rules meant to push insurance ...,2023-07-25T21:34:16Z,"Joe Biden speaks on fighting cancer, opioid epidemic and mental health issues"
oSiE0P6_Hbs,CNBC Television,"The Supreme Court on Friday struck down President Joe Biden's federal student loan forgiveness plan, denying tens of millions of ...",2023-06-30T20:16:31Z,President Biden speaks after Supreme Court struck down student debt relief plan — 6/30/23
X8JSZOV8LqE,ABC News,The president reaffirmed that federal teams are prepared to mobilize support wherever needed. WATCH the ABC News Live ...,2023-08-30T19:39:33Z,"President Biden delivers remarks on Hurricane Idalia, Maui wildfires"
EhL0Z51OiBY,C-SPAN,"President Biden: ""My fellow Americans, when I ran for president I was told the days of bipartisanship were over. That Democrats ...",2023-06-02T23:32:40Z,President Biden Oval Office Address on Debt Limit Deal
9L63b6aW-5E,NewsNation,"President Joe Biden celebrated Labor Day, praising union workers and the middle class in Philadelphia. Touting himself as the ...",2023-09-04T14:23:49Z,"Biden praises union workers, middle class during Labor Day speech"
t0OI6HhvUYs,CNN,President Joe Biden and G7 leaders unveiled a substantial show of support for Ukraine Wednesday at the NATO Summit in ...,2023-07-12T18:15:02Z,Biden promises &#39;long-term commitments&#39; to Ukraine in NATO speech
xoCoYHEm7LM,PBS NewsHour,Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG Find more from PBS NewsHour at ...,2023-06-02T23:21:54Z,WATCH LIVE: Biden gives remarks on raising of debt ceiling after negotiations with GOP
