videoId,title,description,channelTitle,publishedAt,videoId
_om-x323Em0,Flashback: Rep. Bernie Sanders Opposes Iraq War,"Thirteen years ago, on October 9, 2002, then-Rep. Bernie Sanders strongly opposed the invasion of Iraq and made the following ...",Bernie Sanders,2015-11-14T18:10:52Z,_om-x323Em0
NwsB8ZkIauk,Bernie Sanders Remarks at the Latino Heritage Festival,Read more here: http://bernie.to/LatinoHeritageFestival-IA.,Bernie Sanders,2015-09-27T01:00:46Z,NwsB8ZkIauk
sTfTabMRRpw,Vatican | Bernie Sanders Prepared Remarks,The Urgency of a Moral Economy: Reflections on the 25th Anniversary of Centesimus Annus ...,Bernie Sanders,2016-04-16T02:14:23Z,sTfTabMRRpw
dUZCbYtP3DU,Nina Turner: Bernie Sanders is a Champion for Civil Rights,"""Senator Sanders stood up when he didn't have to stand up as a young man. The way to define the character of a person is what ...",Bernie Sanders,2016-02-25T19:46:02Z,dUZCbYtP3DU
nhl9QoXAB34,WATCH: Sen. Bernie Sanders’ full speech at the 2020 Democratic National Convention,Vermont Sen. Bernie Sanders addressed Democrats on Aug. 17 during the first night of the Democratic National Convention.,PBS NewsHour,2020-08-18T03:00:14Z,nhl9QoXAB34
WH7sPmBNKHI,Bernie Sanders: The struggle continues (Full June 7 speech),"Bernie Sanders tells supporters that he will continue to fight for them during a speech in Santa Monica, California.",CNN,2016-06-08T06:58:48Z,WH7sPmBNKHI
YcPKnZQ1k8Q,Bernie Sanders Faces Backlash Over Fidel Castro Remarks | Morning Joe | MSNBC,"During a Charleston town hall, 2020 candidate, Sen. Bernie Sanders, doubled down on past remarks about Fidel Castro and the ...",MSNBC,2020-02-25T15:29:54Z,YcPKnZQ1k8Q
8QWQ0NW8wOM,Bernie Sanders claims victory in Vermont (Full Speech),Sen. Bernie Sanders claims victory in his home state of Vermont and tells supporters that his campaign is on its way to win ...,CNN,2016-03-02T01:43:09Z,8QWQ0NW8wOM
rYrZEhLwepk,The True Cost of War | Bernie Sanders,"Bernie Sanders talks about the true cost of waging war abroad. When politicians vote to go to war or topple governments, their ...",Bernie Sanders,2015-12-24T21:30:45Z,rYrZEhLwepk
85MW7PAa-IY,"People Can&#39;t Live on $12,000 a Year | Bernie Sanders",Bernie asked the crowd in Iowa if anyone had experience living on $12000 a year on Social Security. Their answers are ...,Bernie Sanders,2016-01-25T21:03:10Z,85MW7PAa-IY
wsMunv8bPCo,"Nina Turner is Fired Up in Washington Square, NYC | Bernie Sanders","The cause is right, and the time is now. --------- ☆ Join the political revolution at www.berniesanders.com ☆ Connect with Bernie: ...",Bernie Sanders,2016-04-18T16:13:58Z,wsMunv8bPCo
W8cex4VTrwg,Cornel West Introduces Bernie Sanders in South Carolina,Renowned activist and intellectual Cornel West endorses Senator Bernie Sanders for president and introduces him at Benedict ...,Bernie Sanders,2015-09-12T17:29:08Z,W8cex4VTrwg
YMNkvgLPxDg,Civil Rights Leaders&#39; Meeting | Bernie Sanders,"Bernie Sanders discusses the economy, voting rights, and the criminal justice system during a conference with civil rights leaders ...",Bernie Sanders,2016-02-19T01:42:48Z,YMNkvgLPxDg
zGtd6vKCti8,We Must do More to Combat Climate Change | Bernie Sanders,Climate change is real. It is caused by human activity. And it already causes massive problems in the US and around the world.,Bernie Sanders,2015-12-13T17:39:57Z,zGtd6vKCti8
mW436KBSxjM,POWERFUL Speech by Bernie Sanders EXPOSES the Broken Medical System in U.S.,A new poll found that almost 40% of Americans put off medical care in 2022 because it was too expensive. Ana Kasparian ...,The Young Turks,2023-01-19T03:30:12Z,mW436KBSxjM
8uoF22dc6QI,The Hidden Cost of War | Bernie Sanders,"Bernie visited Gettysburg, PA and paid tribute to the men and women who serve in the military today and generations of veterans ...",Bernie Sanders,2016-04-25T16:48:20Z,8uoF22dc6QI
OSli5uxd_qk,Don&#39;t Underestimate Us | Bernie Sanders,"Tonight, we accomplished what the corporate media and political establishment once believed was impossible. Don't ...",Bernie Sanders,2016-02-02T06:49:21Z,OSli5uxd_qk
x6BhijtleDA,It is Time to Ban Fracking | Bernie Sanders,"We need to ban fracking everywhere, not just where it's convenient. We cannot continue to endanger our land and drinking water.",Bernie Sanders,2016-04-11T18:47:27Z,x6BhijtleDA
KHG-b5Ltd_I,Michigan was Hit Hard by our Trade Policies | Bernie Sanders,"As a result of disastrous trade policies in this country, corporations have been outsourcing Michigan jobs to countries like Mexico, ...",Bernie Sanders,2016-03-05T04:17:01Z,KHG-b5Ltd_I
