videoId,title,description,channelTitle,publishedAt,videoId.1,politician
L07fMoafVh4,Trump won&#39;t say whether he wants Russia or Ukraine to win war,Former President Donald Trump speaks with CNN's Kaitlan Collins about the war in Ukraine and how he would handle the conflict ...,CNN,2023-05-11T02:30:14Z,L07fMoafVh4,Donald Trump
EevffhqzYCE,"&#39;There&#39;s a level of hatred I&#39;ve never seen,&#39; Trump says in Tucker Carlson interview",NBC News Correspondent Vaughn Hillyard reports on former President Trump's Wednesday evening counterprogramming of the ...,NBC News,2023-08-24T04:30:10Z,EevffhqzYCE,Donald Trump
DI8ifwwwoj0,"Trump: If they charge us, we charge them",Former President Donald Trump explains how the United States should handle foreign relations on 'Kudlow.' Subscribe to Fox ...,Fox Business,2023-08-18T20:45:01Z,DI8ifwwwoj0,Donald Trump
vINNi9YYTfg,‘This interview did not go well for him’: Trump defends keeping documents,"In a new interview with Fox News' Bret Baier, former President Trump defended keeping classified documents at Mar-a-Lago.",MSNBC,2023-06-20T10:45:03Z,vINNi9YYTfg,Donald Trump
kSyXYAgihsw,Trump Sits Down For Heated Fox News Interview With Bret Baier | The View,Subscribe to our YouTube channel: http://bit.ly/2Ybi4tM MORE FROM 'THE VIEW': Full episodes: http://abcn.ws/2tl10qh Twitter: ...,The View,2023-06-20T18:00:30Z,kSyXYAgihsw,Donald Trump
s9zhRdyk9Hw,NBC Exclusive: Trump tells Welker will ‘make a play’ for UAW votes despite disdain from leadership,"In an exclusive interview for Meet The Press, former President Donald Trump told Kristen Welker he would not pardon himself if ...",MSNBC,2023-09-15T18:30:46Z,s9zhRdyk9Hw,Donald Trump
lj39zZNsfpQ,"Donald Trump takes shots at Biden, DeSantis during Lincoln Dinner in Iowa | LiveNOW from FOX",Donald Trump spoke amongst other Republican presidential candidates at a campaign event in early voting Iowa. He touted his ...,LiveNOW from FOX,2023-07-29T01:48:08Z,lj39zZNsfpQ,Donald Trump
dhCFu4cW_HQ,Voters from town hall weigh in on Trump&#39;s performance,CNN's Gary Tuchman speaks with New Hampshire voters following the CNN Republican presidential town hall with former ...,CNN,2023-05-11T10:00:27Z,dhCFu4cW_HQ,Donald Trump
QSIKaSRA3_E,Hear how Trump tried to spin classified docs in interview before audio leak,"CNN exclusively obtained the audio recording of the 2021 meeting in Bedminster, New Jersey, where former President Donald ...",CNN,2023-06-27T13:53:43Z,QSIKaSRA3_E,Donald Trump
OFKZmwtrOOA,Analyst says this is the single most important moment from Trump town hall,Former President Donald Trump addressed questions from New Hampshire Republican and undeclared voters during a CNN ...,CNN,2023-05-11T11:28:49Z,OFKZmwtrOOA,Donald Trump
upZLHm0bk2c,Donald Trump speaks out in exclusive upcoming interview,Fox News' Bret Baier discusses highlights of his interview with former President Trump on 'The Story.' Subscribe to Fox News!,Fox News,2023-06-19T20:12:32Z,upZLHm0bk2c,Donald Trump
NVjF126V6qg,Trump: I believe Secret Service &#39;know everything&#39; about this,"Former President Donald Trump sits down with Fox News' Maria Bartiromo for part two of an exclusive interview, discussing the ...",Fox News,2023-07-16T16:00:14Z,NVjF126V6qg,Donald Trump
