Politician,VideoId
Alexandria Ocasio-Cortez,LTot-4LzPts
Alexandria Ocasio-Cortez,7T4ysRNDV2Y
Alexandria Ocasio-Cortez,BE3X6LCCgSA
Alexandria Ocasio-Cortez,XtaxgHEucGk
Alexandria Ocasio-Cortez,4EN_hdestac
Alexandria Ocasio-Cortez,kLQXI2W-3gE
Alexandria Ocasio-Cortez,ntrGEUEh57E
Alexandria Ocasio-Cortez,3g7gtW2Fgac
Alexandria Ocasio-Cortez,kD6Cj6tAZVU
Alexandria Ocasio-Cortez,19ViDAoDyQs
Alexandria Ocasio-Cortez,3RJhTDeFo7E
Alexandria Ocasio-Cortez,rw7mkFSx-AM
Alexandria Ocasio-Cortez,PBC8LeXb_6s
Alexandria Ocasio-Cortez,NaOJORnWbVo
Alexandria Ocasio-Cortez,9QBAOfVrfJo
Alexandria Ocasio-Cortez,JJrX09fc33U
Alexandria Ocasio-Cortez,GaEMVzY1rFA
Alexandria Ocasio-Cortez,xTa54JX_7zw
Alexandria Ocasio-Cortez,9pgnPHxifgU
Alexandria Ocasio-Cortez,2A5NH01FqA8
Alexandria Ocasio-Cortez,L1OYbwfUGaM
Alexandria Ocasio-Cortez,fWNWoNaImQA
Alexandria Ocasio-Cortez,oqGxsWjbdsA
Alexandria Ocasio-Cortez,H-nv47wAees
Alexandria Ocasio-Cortez,a1hU4sK6-W8
Alexandria Ocasio-Cortez,c29dVU350BM
Alexandria Ocasio-Cortez,zjgkRXREWEc
Alexandria Ocasio-Cortez,JU-SE5eNt04
Alexandria Ocasio-Cortez,oBF7fB7_HdQ
Alexandria Ocasio-Cortez,Grfsep-jSqE
Alexandria Ocasio-Cortez,E2ndTjbymMQ
Alexandria Ocasio-Cortez,7RFp9jIaGUo
Alexandria Ocasio-Cortez,51Gf_PXciKg
Alexandria Ocasio-Cortez,iLkJxwZfeAQ
Alexandria Ocasio-Cortez,bpXe41yqruQ
Alexandria Ocasio-Cortez,nqIa9VqQm0c
Alexandria Ocasio-Cortez,lPlspWh66T4
Alexandria Ocasio-Cortez,H3-DqFJEN6s
Alexandria Ocasio-Cortez,Oondd6gZ8NY
Alexandria Ocasio-Cortez,4m705HMNYoA
Alexandria Ocasio-Cortez,9Xul-cSViQU
Alexandria Ocasio-Cortez,xLmIhIOPgi4
Alexandria Ocasio-Cortez,3lSN2n4Bjz8
Alexandria Ocasio-Cortez,sZuJ1Qiqkjg
Alexandria Ocasio-Cortez,hCwhaXHqxoc
Alexandria Ocasio-Cortez,VLJ0zf-vx5c
Donald Trump,_E8NpjpTxd8
Donald Trump,X_ik069yLlQ
Donald Trump,v0CioCdYa3E
Donald Trump,Ed8IFzahCEM
Donald Trump,WIcoXT6MPjU
Donald Trump,jieTlkwNKco
Donald Trump,cm9YBvDX7ME
Donald Trump,l5yVXu3NP4Y
Donald Trump,utH2MLRcIMk
Donald Trump,BL-yXX2yO9A
Donald Trump,LEgOuF_SD4k
Donald Trump,BOnTi_tLwtQ
Donald Trump,tscgWCBbeao
Donald Trump,UbX9kXMNtqI
Donald Trump,1jvTXgyQon4
Donald Trump,CKTaX7KsOls
Donald Trump,JOCRo97NoJ8
Donald Trump,S_OELLDxfXc
Donald Trump,8cfjj80O7ic
Donald Trump,QAvt4b0fGdQ
Donald Trump,LHV4bHdqir0
Donald Trump,DzpehFlG4Yk
Donald Trump,TOFUIi008CA
Donald Trump,ISTu6JRtJTI
Joe Biden,WGjYvDY7Qd0
Joe Biden,5xTNKVqsLKo
Joe Biden,BQHl2relTjw
Joe Biden,po0jFWdiB2s
Joe Biden,CmekpMxhFmg
Joe Biden,myA8PkEEvQw
Joe Biden,sAyXNRQpVWc
Joe Biden,lxH2PM1-Vu8
Joe Biden,lY-dQrapYOg
Joe Biden,xudVnd6DTSQ
Joe Biden,G5Gb3hoM0ag
Joe Biden,3c1cLJPUC88
Joe Biden,31d7a3-qEHE
Joe Biden,tqdSnr_0IvA
Joe Biden,Bl_HCDqb2L8
Joe Biden,dy9pD0mPXAc
Joe Biden,HsbgFEO2pw0
Joe Biden,hEc3PQCz9SM
Joe Biden,SsVXDDQaQhM
Joe Biden,zk5tGzJiMDo
Joe Biden,Gk-_woFwh5A
Joe Biden,Ie1ys5UBAH4
Joe Biden,9mhQsIn_UDM
Joe Biden,tUSroTovDqU
Joe Biden,Ii8h5gvvGAQ
Joe Biden,LZkC3zr2Vlo
Joe Biden,-gdAusF5q8E
Joe Biden,-k9h_iUzz2A
Joe Biden,M5U04UjfdhM
Joe Biden,q5v3mN-ctH8
Joe Biden,13iMUoK5fRA
Joe Biden,xVmAu6XQ3U8
Joe Biden,08M8OIn_mIs
Joe Biden,R8R2545fHCo
Joe Biden,0-M20X5IoMM
Joe Biden,Atj5mXB8gvo
Joe Biden,WITiPk5q4OI
Joe Biden,EVLyFAfe500
Joe Biden,OAH9R2Qbisc
Joe Biden,Bvbh-gpLqoo
Joe Biden,88KM7poMYCo
Joe Biden,1qska9APRyo
Joe Biden,IOVSVq2l2OE
Joe Biden,WwuE7Ca_hOY
Joe Biden,1-gkjPp-zvU
Joe Biden,S7Z_vYHelsM
Joe Biden,s5King9rvag
Joe Biden,-SKC_rvEXrY
Joe Biden,tas01aLh9wA
Joe Biden,5RDxGZd_VG0
Joe Biden,xqzv81qi3VQ
Joe Biden,oRtFOa3RqYM
Joe Biden,izOBdqqpX98
Joe Biden,MmciT4x-iGU
Joe Biden,iKKRU3ALjb0
Joe Biden,UfjDM91rBm8
Joe Biden,51j1Ih33WGQ
Joe Biden,cBrtfUXq3m0
Joe Biden,kH3nMUIQeNQ
Joe Biden,8u9KuskozDU
Joe Biden,fPDRO2LSvu4
Joe Biden,Jfzei5Z2luY
